#TYPE System.Management.Automation.PSCustomObject
"User Status","Asset ID","WF Id","Modified"
"Pending Librarian Assignment","AS417","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:07:23 PM"
"Pending Librarian Assignment","AS425","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:09:49 PM"
"Pending Librarian Assignment","AS426","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:09:58 PM"
"Librarian Assigned to Form","AS428","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:10:44 PM"
,"AS431","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:11:28 PM"
"Pending Librarian Assignment","AS431","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:11:28 PM"
"Generating Submission ID","AS431","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:11:28 PM"
"Librarian Assigned to Form","AS432","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:12:48 PM"
"Librarian Assigned to Form","AS432","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:12:48 PM"
"Librarian Review","AS432","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:12:48 PM"
,"AS432","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:12:48 PM"
"Librarian Assigned to Form","AS432","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:12:48 PM"
,"AS433","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:12:17 PM"
"Librarian Assigned to Form","AS433","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:12:17 PM"
"Librarian Assigned to Form","AS442","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:14:21 PM"
"Pending Librarian Assignment","AS449","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:16:21 PM"
"Librarian Assigned to Form","AS450","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:16:41 PM"
"Pending Librarian Assignment","AS451","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:16:53 PM"
"Pending Librarian Assignment","AS452","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:17:08 PM"
"Pending Librarian Assignment","AS453","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:17:19 PM"
"Pending Librarian Assignment","AS455","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:17:54 PM"
"Pending Librarian Assignment","AS456","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:18:12 PM"
,"AS456","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:18:12 PM"
"Pending Librarian Assignment","AS456","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:18:12 PM"
"Pending Librarian Assignment","AS456","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:18:12 PM"
"Pending Librarian Assignment","AS458","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:20:15 PM"
,"AS460","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:19:01 PM"
"Registering Reuses","AS460","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:19:01 PM"
"Pending Librarian Assignment","AS462","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:21:14 PM"
"Pending Librarian Assignment","AS463","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:21:16 PM"
"Librarian Assigned to Form","AS466","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:22:01 PM"
,"AS480","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:25:11 PM"
"Uploading Assets","AS480","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:25:11 PM"
"Librarian Assigned to Form","AS488","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:28:26 PM"
,"AS488","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:28:26 PM"
"Pending Librarian Assignment","AS490","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:28:07 PM"
"Pending Librarian Assignment","AS491","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:28:17 PM"
,"AS492","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:28:31 PM"
"Pending Librarian Assignment","AS492","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:28:31 PM"
"Pending Librarian Assignment","AS492","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:28:31 PM"
,"AS493","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:28:43 PM"
"Pending Librarian Assignment","AS493","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:28:43 PM"
"Pending Librarian Assignment","AS493","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:28:43 PM"
